STT,MaHP,TenHP,SoTinChi,HocKy,NamHoc,MaLop,LichHoc,MaGV,GiangVien,MaKhoa,NgayBatDau,NgayKetThuc
391,C22201605,Seminar học thuật DTVT,2,2,2022-2023,DTVT01,T6(6-7)-P.cs2:B205,GV0901,TS. Bùi Tuấn Việt,DTVT,2022-01-15,2023-05-30
392,C22201701,Cơ sở ngành chuyên sâu DTVT,4,2,2022-2023,DTVT02,T2(6-9)-P.cs2:B201,GV0902,ThS. Đỗ Mỹ Thảo,DTVT,2022-01-15,2023-05-30
393,C22201702,Phương pháp nghiên cứu chuyên ngành DTVT,3,2,2022-2023,DTVT02,T3(6-8)-P.cs2:B202,GV1001,TS. Đỗ Bảo Đạt,DTVT,2022-01-15,2023-05-30
394,C22201703,Thực hành cơ sở chuyên ngành DTVT,3,2,2022-2023,DTVT02,T4(6-8)-P.cs2:B203,GV1002,ThS. Hồ Khánh Anh,DTVT,2022-01-15,2023-05-30
395,C22201704,Ứng dụng chuyên ngành DTVT,3,2,2022-2023,DTVT02,T5(6-8)-P.cs2:B204,GV1101,TS. Hồ Nhật Cường,DTVT,2022-01-15,2023-05-30
396,C22201705,Seminar học thuật DTVT,2,2,2022-2023,DTVT02,T6(6-7)-P.cs2:B205,GV1102,ThS. Ngô Thị Dung,DTVT,2022-01-15,2023-05-30
397,C22201706,Dự án học phần DTVT,2,2,2022-2023,DTVT02,T7(6-7)-P.cs2:B206,GV0101,TS. Lê Anh Hải,DTVT,2022-01-15,2023-05-30
398,C22201801,Cơ sở ngành chuyên sâu DTVT,4,2,2022-2023,DTVT03,T2(6-9)-P.cs2:B201,GV0102,ThS. Phạm Phương Hà,DTVT,2022-01-15,2023-05-30
399,C22201802,Phương pháp nghiên cứu chuyên ngành DTVT,3,2,2022-2023,DTVT03,T3(6-8)-P.cs2:B202,GV0201,TS. Phạm Hữu Nam,DTVT,2022-01-15,2023-05-30
400,C22201803,Thực hành cơ sở chuyên ngành DTVT,3,2,2022-2023,DTVT03,T4(6-8)-P.cs2:B203,GV0202,ThS. Hoàng Bảo Lan,DTVT,2022-01-15,2023-05-30
401,C22201804,Ứng dụng chuyên ngành DTVT,3,2,2022-2023,DTVT03,T5(6-8)-P.cs2:B204,GV0301,TS. Hoàng Tuấn Sơn,DTVT,2022-01-15,2023-05-30
402,C22201805,Seminar học thuật DTVT,2,2,2022-2023,DTVT03,T6(6-7)-P.cs2:B205,GV0302,ThS. Huỳnh Mỹ My,DTVT,2022-01-15,2023-05-30
403,C22201901,Cơ sở ngành chuyên sâu DTVT,4,2,2022-2023,DTVT04,T2(6-9)-P.cs2:B201,GV0401,TS. Huỳnh Bảo Huy,DTVT,2022-01-15,2023-05-30
404,C22201902,Phương pháp nghiên cứu chuyên ngành DTVT,3,2,2022-2023,DTVT04,T3(6-8)-P.cs2:B202,GV0402,ThS. Phan Khánh Trang,DTVT,2022-01-15,2023-05-30
405,C22201903,Thực hành cơ sở chuyên ngành DTVT,3,2,2022-2023,DTVT04,T4(6-8)-P.cs2:B203,GV0501,TS. Phan Nhật An,DTVT,2022-01-15,2023-05-30
406,C22201904,Ứng dụng chuyên ngành DTVT,3,2,2022-2023,DTVT04,T5(6-8)-P.cs2:B204,GV0502,ThS. Vũ Thị Bích,DTVT,2022-01-15,2023-05-30
407,C22201905,Seminar học thuật DTVT,2,2,2022-2023,DTVT04,T6(6-7)-P.cs2:B205,GV0601,TS. Vũ Minh Dũng,DTVT,2022-01-15,2023-05-30
408,C22201906,Dự án học phần DTVT,2,2,2022-2023,DTVT04,T7(6-7)-P.cs2:B206,GV0602,ThS. Võ Thanh Giang,DTVT,2022-01-15,2023-05-30
409,C22202001,Cơ sở ngành chuyên sâu DTVT,4,2,2022-2023,DTVT05,T2(6-9)-P.cs2:B201,GV0701,TS. Võ Anh Long,DTVT,2022-01-15,2023-05-30
410,C22202002,Phương pháp nghiên cứu chuyên ngành DTVT,3,2,2022-2023,DTVT05,T3(6-8)-P.cs2:B202,GV0702,ThS. Đặng Phương Hương,DTVT,2022-01-15,2023-05-30
411,C22202003,Thực hành cơ sở chuyên ngành DTVT,3,2,2022-2023,DTVT05,T4(6-8)-P.cs2:B203,GV0801,TS. Đặng Hữu Quân,DTVT,2022-01-15,2023-05-30
412,C22202004,Ứng dụng chuyên ngành DTVT,3,2,2022-2023,DTVT05,T5(6-8)-P.cs2:B204,GV0802,ThS. Bùi Bảo Mai,DTVT,2022-01-15,2023-05-30
413,C22202005,Seminar học thuật DTVT,2,2,2022-2023,DTVT05,T6(6-7)-P.cs2:B205,GV0901,TS. Bùi Tuấn Việt,DTVT,2022-01-15,2023-05-30
414,C22202101,Cơ sở ngành chuyên sâu HDH,4,2,2022-2023,HDH01,T2(6-9)-P.cs2:B201,GV0902,ThS. Đỗ Mỹ Thảo,HDH,2022-01-15,2023-05-30
415,C22202102,Phương pháp nghiên cứu chuyên ngành HDH,3,2,2022-2023,HDH01,T3(6-8)-P.cs2:B202,GV1001,TS. Đỗ Bảo Đạt,HDH,2022-01-15,2023-05-30
416,C22202103,Thực hành cơ sở chuyên ngành HDH,3,2,2022-2023,HDH01,T4(6-8)-P.cs2:B203,GV1002,ThS. Hồ Khánh Anh,HDH,2022-01-15,2023-05-30
417,C22202104,Ứng dụng chuyên ngành HDH,3,2,2022-2023,HDH01,T5(6-8)-P.cs2:B204,GV1101,TS. Hồ Nhật Cường,HDH,2022-01-15,2023-05-30
418,C22202105,Seminar học thuật HDH,2,2,2022-2023,HDH01,T6(6-7)-P.cs2:B205,GV1102,ThS. Ngô Thị Dung,HDH,2022-01-15,2023-05-30
419,C22202106,Dự án học phần HDH,2,2,2022-2023,HDH01,T7(6-7)-P.cs2:B206,GV0101,TS. Lê Anh Hải,HDH,2022-01-15,2023-05-30
420,C22202201,Cơ sở ngành chuyên sâu HDH,4,2,2022-2023,HDH02,T2(6-9)-P.cs2:B201,GV0102,ThS. Phạm Phương Hà,HDH,2022-01-15,2023-05-30
421,C22202202,Phương pháp nghiên cứu chuyên ngành HDH,3,2,2022-2023,HDH02,T3(6-8)-P.cs2:B202,GV0201,TS. Phạm Hữu Nam,HDH,2022-01-15,2023-05-30
422,C22202203,Thực hành cơ sở chuyên ngành HDH,3,2,2022-2023,HDH02,T4(6-8)-P.cs2:B203,GV0202,ThS. Hoàng Bảo Lan,HDH,2022-01-15,2023-05-30
423,C22202204,Ứng dụng chuyên ngành HDH,3,2,2022-2023,HDH02,T5(6-8)-P.cs2:B204,GV0301,TS. Hoàng Tuấn Sơn,HDH,2022-01-15,2023-05-30
424,C22202205,Seminar học thuật HDH,2,2,2022-2023,HDH02,T6(6-7)-P.cs2:B205,GV0302,ThS. Huỳnh Mỹ My,HDH,2022-01-15,2023-05-30
425,C22202301,Cơ sở ngành chuyên sâu HDH,4,2,2022-2023,HDH03,T2(6-9)-P.cs2:B201,GV0401,TS. Huỳnh Bảo Huy,HDH,2022-01-15,2023-05-30
426,C22202302,Phương pháp nghiên cứu chuyên ngành HDH,3,2,2022-2023,HDH03,T3(6-8)-P.cs2:B202,GV0402,ThS. Phan Khánh Trang,HDH,2022-01-15,2023-05-30
427,C22202303,Thực hành cơ sở chuyên ngành HDH,3,2,2022-2023,HDH03,T4(6-8)-P.cs2:B203,GV0501,TS. Phan Nhật An,HDH,2022-01-15,2023-05-30
428,C22202304,Ứng dụng chuyên ngành HDH,3,2,2022-2023,HDH03,T5(6-8)-P.cs2:B204,GV0502,ThS. Vũ Thị Bích,HDH,2022-01-15,2023-05-30
429,C22202305,Seminar học thuật HDH,2,2,2022-2023,HDH03,T6(6-7)-P.cs2:B205,GV0601,TS. Vũ Minh Dũng,HDH,2022-01-15,2023-05-30
430,C22202306,Dự án học phần HDH,2,2,2022-2023,HDH03,T7(6-7)-P.cs2:B206,GV0602,ThS. Võ Thanh Giang,HDH,2022-01-15,2023-05-30
431,C22202401,Cơ sở ngành chuyên sâu HDH,4,2,2022-2023,HDH04,T2(6-9)-P.cs2:B201,GV0701,TS. Võ Anh Long,HDH,2022-01-15,2023-05-30
432,C22202402,Phương pháp nghiên cứu chuyên ngành HDH,3,2,2022-2023,HDH04,T3(6-8)-P.cs2:B202,GV0702,ThS. Đặng Phương Hương,HDH,2022-01-15,2023-05-30
433,C22202403,Thực hành cơ sở chuyên ngành HDH,3,2,2022-2023,HDH04,T4(6-8)-P.cs2:B203,GV0801,TS. Đặng Hữu Quân,HDH,2022-01-15,2023-05-30
434,C22202404,Ứng dụng chuyên ngành HDH,3,2,2022-2023,HDH04,T5(6-8)-P.cs2:B204,GV0802,ThS. Bùi Bảo Mai,HDH,2022-01-15,2023-05-30
435,C22202405,Seminar học thuật HDH,2,2,2022-2023,HDH04,T6(6-7)-P.cs2:B205,GV0901,TS. Bùi Tuấn Việt,HDH,2022-01-15,2023-05-30
436,C22202501,Cơ sở ngành chuyên sâu HDH,4,2,2022-2023,HDH05,T2(6-9)-P.cs2:B201,GV0902,ThS. Đỗ Mỹ Thảo,HDH,2022-01-15,2023-05-30
437,C22202502,Phương pháp nghiên cứu chuyên ngành HDH,3,2,2022-2023,HDH05,T3(6-8)-P.cs2:B202,GV1001,TS. Đỗ Bảo Đạt,HDH,2022-01-15,2023-05-30
438,C22202503,Thực hành cơ sở chuyên ngành HDH,3,2,2022-2023,HDH05,T4(6-8)-P.cs2:B203,GV1002,ThS. Hồ Khánh Anh,HDH,2022-01-15,2023-05-30
439,C22202504,Ứng dụng chuyên ngành HDH,3,2,2022-2023,HDH05,T5(6-8)-P.cs2:B204,GV1101,TS. Hồ Nhật Cường,HDH,2022-01-15,2023-05-30
440,C22202505,Seminar học thuật HDH,2,2,2022-2023,HDH05,T6(6-7)-P.cs2:B205,GV1102,ThS. Ngô Thị Dung,HDH,2022-01-15,2023-05-30
441,C22202506,Dự án học phần HDH,2,2,2022-2023,HDH05,T7(6-7)-P.cs2:B206,GV0101,TS. Lê Anh Hải,HDH,2022-01-15,2023-05-30
442,C22202601,Cơ sở ngành chuyên sâu HH,4,2,2022-2023,HH01,T2(6-9)-P.cs2:B201,GV0102,ThS. Phạm Phương Hà,HH,2022-01-15,2023-05-30
443,C22202602,Phương pháp nghiên cứu chuyên ngành HH,3,2,2022-2023,HH01,T3(6-8)-P.cs2:B202,GV0201,TS. Phạm Hữu Nam,HH,2022-01-15,2023-05-30
444,C22202603,Thực hành cơ sở chuyên ngành HH,3,2,2022-2023,HH01,T4(6-8)-P.cs2:B203,GV0202,ThS. Hoàng Bảo Lan,HH,2022-01-15,2023-05-30
445,C22202604,Ứng dụng chuyên ngành HH,3,2,2022-2023,HH01,T5(6-8)-P.cs2:B204,GV0301,TS. Hoàng Tuấn Sơn,HH,2022-01-15,2023-05-30
446,C22202605,Seminar học thuật HH,2,2,2022-2023,HH01,T6(6-7)-P.cs2:B205,GV0302,ThS. Huỳnh Mỹ My,HH,2022-01-15,2023-05-30
447,C22202701,Cơ sở ngành chuyên sâu HH,4,2,2022-2023,HH02,T2(6-9)-P.cs2:B201,GV0401,TS. Huỳnh Bảo Huy,HH,2022-01-15,2023-05-30
448,C22202702,Phương pháp nghiên cứu chuyên ngành HH,3,2,2022-2023,HH02,T3(6-8)-P.cs2:B202,GV0402,ThS. Phan Khánh Trang,HH,2022-01-15,2023-05-30
449,C22202703,Thực hành cơ sở chuyên ngành HH,3,2,2022-2023,HH02,T4(6-8)-P.cs2:B203,GV0501,TS. Phan Nhật An,HH,2022-01-15,2023-05-30
450,C22202704,Ứng dụng chuyên ngành HH,3,2,2022-2023,HH02,T5(6-8)-P.cs2:B204,GV0502,ThS. Vũ Thị Bích,HH,2022-01-15,2023-05-30
451,C22202705,Seminar học thuật HH,2,2,2022-2023,HH02,T6(6-7)-P.cs2:B205,GV0601,TS. Vũ Minh Dũng,HH,2022-01-15,2023-05-30
452,C22202706,Dự án học phần HH,2,2,2022-2023,HH02,T7(6-7)-P.cs2:B206,GV0602,ThS. Võ Thanh Giang,HH,2022-01-15,2023-05-30
453,C22202801,Cơ sở ngành chuyên sâu HH,4,2,2022-2023,HH03,T2(6-9)-P.cs2:B201,GV0701,TS. Võ Anh Long,HH,2022-01-15,2023-05-30
454,C22202802,Phương pháp nghiên cứu chuyên ngành HH,3,2,2022-2023,HH03,T3(6-8)-P.cs2:B202,GV0702,ThS. Đặng Phương Hương,HH,2022-01-15,2023-05-30
455,C22202803,Thực hành cơ sở chuyên ngành HH,3,2,2022-2023,HH03,T4(6-8)-P.cs2:B203,GV0801,TS. Đặng Hữu Quân,HH,2022-01-15,2023-05-30
456,C22202804,Ứng dụng chuyên ngành HH,3,2,2022-2023,HH03,T5(6-8)-P.cs2:B204,GV0802,ThS. Bùi Bảo Mai,HH,2022-01-15,2023-05-30
457,C22202805,Seminar học thuật HH,2,2,2022-2023,HH03,T6(6-7)-P.cs2:B205,GV0901,TS. Bùi Tuấn Việt,HH,2022-01-15,2023-05-30
458,C22202901,Cơ sở ngành chuyên sâu HH,4,2,2022-2023,HH04,T2(6-9)-P.cs2:B201,GV0902,ThS. Đỗ Mỹ Thảo,HH,2022-01-15,2023-05-30
459,C22202902,Phương pháp nghiên cứu chuyên ngành HH,3,2,2022-2023,HH04,T3(6-8)-P.cs2:B202,GV1001,TS. Đỗ Bảo Đạt,HH,2022-01-15,2023-05-30
460,C22202903,Thực hành cơ sở chuyên ngành HH,3,2,2022-2023,HH04,T4(6-8)-P.cs2:B203,GV1002,ThS. Hồ Khánh Anh,HH,2022-01-15,2023-05-30
461,C22202904,Ứng dụng chuyên ngành HH,3,2,2022-2023,HH04,T5(6-8)-P.cs2:B204,GV1101,TS. Hồ Nhật Cường,HH,2022-01-15,2023-05-30
462,C22202905,Seminar học thuật HH,2,2,2022-2023,HH04,T6(6-7)-P.cs2:B205,GV1102,ThS. Ngô Thị Dung,HH,2022-01-15,2023-05-30
463,C22202906,Dự án học phần HH,2,2,2022-2023,HH04,T7(6-7)-P.cs2:B206,GV0101,TS. Lê Anh Hải,HH,2022-01-15,2023-05-30
464,C22203001,Cơ sở ngành chuyên sâu HH,4,2,2022-2023,HH05,T2(6-9)-P.cs2:B201,GV0102,ThS. Phạm Phương Hà,HH,2022-01-15,2023-05-30
465,C22203002,Phương pháp nghiên cứu chuyên ngành HH,3,2,2022-2023,HH05,T3(6-8)-P.cs2:B202,GV0201,TS. Phạm Hữu Nam,HH,2022-01-15,2023-05-30
466,C22203003,Thực hành cơ sở chuyên ngành HH,3,2,2022-2023,HH05,T4(6-8)-P.cs2:B203,GV0202,ThS. Hoàng Bảo Lan,HH,2022-01-15,2023-05-30
467,C22203004,Ứng dụng chuyên ngành HH,3,2,2022-2023,HH05,T5(6-8)-P.cs2:B204,GV0301,TS. Hoàng Tuấn Sơn,HH,2022-01-15,2023-05-30
468,C22203005,Seminar học thuật HH,2,2,2022-2023,HH05,T6(6-7)-P.cs2:B205,GV0302,ThS. Huỳnh Mỹ My,HH,2022-01-15,2023-05-30
469,C22203101,Cơ sở ngành chuyên sâu KHMT,4,2,2022-2023,KHMT01,T2(6-9)-P.cs2:B201,GV0401,TS. Huỳnh Bảo Huy,KHMT,2022-01-15,2023-05-30
470,C22203102,Phương pháp nghiên cứu chuyên ngành KHMT,3,2,2022-2023,KHMT01,T3(6-8)-P.cs2:B202,GV0402,ThS. Phan Khánh Trang,KHMT,2022-01-15,2023-05-30
471,C22203103,Thực hành cơ sở chuyên ngành KHMT,3,2,2022-2023,KHMT01,T4(6-8)-P.cs2:B203,GV0501,TS. Phan Nhật An,KHMT,2022-01-15,2023-05-30
472,C22203104,Ứng dụng chuyên ngành KHMT,3,2,2022-2023,KHMT01,T5(6-8)-P.cs2:B204,GV0502,ThS. Vũ Thị Bích,KHMT,2022-01-15,2023-05-30
473,C22203105,Seminar học thuật KHMT,2,2,2022-2023,KHMT01,T6(6-7)-P.cs2:B205,GV0601,TS. Vũ Minh Dũng,KHMT,2022-01-15,2023-05-30
474,C22203106,Dự án học phần KHMT,2,2,2022-2023,KHMT01,T7(6-7)-P.cs2:B206,GV0602,ThS. Võ Thanh Giang,KHMT,2022-01-15,2023-05-30
475,C22203201,Cơ sở ngành chuyên sâu KHMT,4,2,2022-2023,KHMT02,T2(6-9)-P.cs2:B201,GV0701,TS. Võ Anh Long,KHMT,2022-01-15,2023-05-30
476,C22203202,Phương pháp nghiên cứu chuyên ngành KHMT,3,2,2022-2023,KHMT02,T3(6-8)-P.cs2:B202,GV0702,ThS. Đặng Phương Hương,KHMT,2022-01-15,2023-05-30
477,C22203203,Thực hành cơ sở chuyên ngành KHMT,3,2,2022-2023,KHMT02,T4(6-8)-P.cs2:B203,GV0801,TS. Đặng Hữu Quân,KHMT,2022-01-15,2023-05-30
478,C22203204,Ứng dụng chuyên ngành KHMT,3,2,2022-2023,KHMT02,T5(6-8)-P.cs2:B204,GV0802,ThS. Bùi Bảo Mai,KHMT,2022-01-15,2023-05-30
479,C22203205,Seminar học thuật KHMT,2,2,2022-2023,KHMT02,T6(6-7)-P.cs2:B205,GV0901,TS. Bùi Tuấn Việt,KHMT,2022-01-15,2023-05-30
480,C22203301,Cơ sở ngành chuyên sâu KHMT,4,2,2022-2023,KHMT03,T2(6-9)-P.cs2:B201,GV0902,ThS. Đỗ Mỹ Thảo,KHMT,2022-01-15,2023-05-30
481,C22203302,Phương pháp nghiên cứu chuyên ngành KHMT,3,2,2022-2023,KHMT03,T3(6-8)-P.cs2:B202,GV1001,TS. Đỗ Bảo Đạt,KHMT,2022-01-15,2023-05-30
482,C22203303,Thực hành cơ sở chuyên ngành KHMT,3,2,2022-2023,KHMT03,T4(6-8)-P.cs2:B203,GV1002,ThS. Hồ Khánh Anh,KHMT,2022-01-15,2023-05-30
483,C22203304,Ứng dụng chuyên ngành KHMT,3,2,2022-2023,KHMT03,T5(6-8)-P.cs2:B204,GV1101,TS. Hồ Nhật Cường,KHMT,2022-01-15,2023-05-30
484,C22203305,Seminar học thuật KHMT,2,2,2022-2023,KHMT03,T6(6-7)-P.cs2:B205,GV1102,ThS. Ngô Thị Dung,KHMT,2022-01-15,2023-05-30
485,C22203306,Dự án học phần KHMT,2,2,2022-2023,KHMT03,T7(6-7)-P.cs2:B206,GV0101,TS. Lê Anh Hải,KHMT,2022-01-15,2023-05-30
486,C22203401,Cơ sở ngành chuyên sâu KHMT,4,2,2022-2023,KHMT04,T2(6-9)-P.cs2:B201,GV0102,ThS. Phạm Phương Hà,KHMT,2022-01-15,2023-05-30
487,C22203402,Phương pháp nghiên cứu chuyên ngành KHMT,3,2,2022-2023,KHMT04,T3(6-8)-P.cs2:B202,GV0201,TS. Phạm Hữu Nam,KHMT,2022-01-15,2023-05-30
488,C22203403,Thực hành cơ sở chuyên ngành KHMT,3,2,2022-2023,KHMT04,T4(6-8)-P.cs2:B203,GV0202,ThS. Hoàng Bảo Lan,KHMT,2022-01-15,2023-05-30
489,C22203404,Ứng dụng chuyên ngành KHMT,3,2,2022-2023,KHMT04,T5(6-8)-P.cs2:B204,GV0301,TS. Hoàng Tuấn Sơn,KHMT,2022-01-15,2023-05-30
490,C22203405,Seminar học thuật KHMT,2,2,2022-2023,KHMT04,T6(6-7)-P.cs2:B205,GV0302,ThS. Huỳnh Mỹ My,KHMT,2022-01-15,2023-05-30
491,C22203501,Cơ sở ngành chuyên sâu KHMT,4,2,2022-2023,KHMT05,T2(6-9)-P.cs2:B201,GV0401,TS. Huỳnh Bảo Huy,KHMT,2022-01-15,2023-05-30
492,C22203502,Phương pháp nghiên cứu chuyên ngành KHMT,3,2,2022-2023,KHMT05,T3(6-8)-P.cs2:B202,GV0402,ThS. Phan Khánh Trang,KHMT,2022-01-15,2023-05-30
493,C22203503,Thực hành cơ sở chuyên ngành KHMT,3,2,2022-2023,KHMT05,T4(6-8)-P.cs2:B203,GV0501,TS. Phan Nhật An,KHMT,2022-01-15,2023-05-30
494,C22203504,Ứng dụng chuyên ngành KHMT,3,2,2022-2023,KHMT05,T5(6-8)-P.cs2:B204,GV0502,ThS. Vũ Thị Bích,KHMT,2022-01-15,2023-05-30
495,C22203505,Seminar học thuật KHMT,2,2,2022-2023,KHMT05,T6(6-7)-P.cs2:B205,GV0601,TS. Vũ Minh Dũng,KHMT,2022-01-15,2023-05-30
496,C22203506,Dự án học phần KHMT,2,2,2022-2023,KHMT05,T7(6-7)-P.cs2:B206,GV0602,ThS. Võ Thanh Giang,KHMT,2022-01-15,2023-05-30
497,C22203601,Cơ sở ngành chuyên sâu KHVL,4,2,2022-2023,KHVL01,T2(6-9)-P.cs2:B201,GV0701,TS. Võ Anh Long,KHVL,2022-01-15,2023-05-30
498,C22203602,Phương pháp nghiên cứu chuyên ngành KHVL,3,2,2022-2023,KHVL01,T3(6-8)-P.cs2:B202,GV0702,ThS. Đặng Phương Hương,KHVL,2022-01-15,2023-05-30
499,C22203603,Thực hành cơ sở chuyên ngành KHVL,3,2,2022-2023,KHVL01,T4(6-8)-P.cs2:B203,GV0801,TS. Đặng Hữu Quân,KHVL,2022-01-15,2023-05-30
500,C22203604,Ứng dụng chuyên ngành KHVL,3,2,2022-2023,KHVL01,T5(6-8)-P.cs2:B204,GV0802,ThS. Bùi Bảo Mai,KHVL,2022-01-15,2023-05-30
501,C22203605,Seminar học thuật KHVL,2,2,2022-2023,KHVL01,T6(6-7)-P.cs2:B205,GV0901,TS. Bùi Tuấn Việt,KHVL,2022-01-15,2023-05-30
502,C22203701,Cơ sở ngành chuyên sâu KHVL,4,2,2022-2023,KHVL02,T2(6-9)-P.cs2:B201,GV0902,ThS. Đỗ Mỹ Thảo,KHVL,2022-01-15,2023-05-30
503,C22203702,Phương pháp nghiên cứu chuyên ngành KHVL,3,2,2022-2023,KHVL02,T3(6-8)-P.cs2:B202,GV1001,TS. Đỗ Bảo Đạt,KHVL,2022-01-15,2023-05-30
504,C22203703,Thực hành cơ sở chuyên ngành KHVL,3,2,2022-2023,KHVL02,T4(6-8)-P.cs2:B203,GV1002,ThS. Hồ Khánh Anh,KHVL,2022-01-15,2023-05-30
505,C22203704,Ứng dụng chuyên ngành KHVL,3,2,2022-2023,KHVL02,T5(6-8)-P.cs2:B204,GV1101,TS. Hồ Nhật Cường,KHVL,2022-01-15,2023-05-30
506,C22203705,Seminar học thuật KHVL,2,2,2022-2023,KHVL02,T6(6-7)-P.cs2:B205,GV1102,ThS. Ngô Thị Dung,KHVL,2022-01-15,2023-05-30
507,C22203706,Dự án học phần KHVL,2,2,2022-2023,KHVL02,T7(6-7)-P.cs2:B206,GV0101,TS. Lê Anh Hải,KHVL,2022-01-15,2023-05-30
508,C22203801,Cơ sở ngành chuyên sâu KHVL,4,2,2022-2023,KHVL03,T2(6-9)-P.cs2:B201,GV0102,ThS. Phạm Phương Hà,KHVL,2022-01-15,2023-05-30
509,C22203802,Phương pháp nghiên cứu chuyên ngành KHVL,3,2,2022-2023,KHVL03,T3(6-8)-P.cs2:B202,GV0201,TS. Phạm Hữu Nam,KHVL,2022-01-15,2023-05-30
510,C22203803,Thực hành cơ sở chuyên ngành KHVL,3,2,2022-2023,KHVL03,T4(6-8)-P.cs2:B203,GV0202,ThS. Hoàng Bảo Lan,KHVL,2022-01-15,2023-05-30
511,C22203804,Ứng dụng chuyên ngành KHVL,3,2,2022-2023,KHVL03,T5(6-8)-P.cs2:B204,GV0301,TS. Hoàng Tuấn Sơn,KHVL,2022-01-15,2023-05-30
512,C22203805,Seminar học thuật KHVL,2,2,2022-2023,KHVL03,T6(6-7)-P.cs2:B205,GV0302,ThS. Huỳnh Mỹ My,KHVL,2022-01-15,2023-05-30
513,C22203901,Cơ sở ngành chuyên sâu KHVL,4,2,2022-2023,KHVL04,T2(6-9)-P.cs2:B201,GV0401,TS. Huỳnh Bảo Huy,KHVL,2022-01-15,2023-05-30
514,C22203902,Phương pháp nghiên cứu chuyên ngành KHVL,3,2,2022-2023,KHVL04,T3(6-8)-P.cs2:B202,GV0402,ThS. Phan Khánh Trang,KHVL,2022-01-15,2023-05-30
515,C22203903,Thực hành cơ sở chuyên ngành KHVL,3,2,2022-2023,KHVL04,T4(6-8)-P.cs2:B203,GV0501,TS. Phan Nhật An,KHVL,2022-01-15,2023-05-30
516,C22203904,Ứng dụng chuyên ngành KHVL,3,2,2022-2023,KHVL04,T5(6-8)-P.cs2:B204,GV0502,ThS. Vũ Thị Bích,KHVL,2022-01-15,2023-05-30
517,C22203905,Seminar học thuật KHVL,2,2,2022-2023,KHVL04,T6(6-7)-P.cs2:B205,GV0601,TS. Vũ Minh Dũng,KHVL,2022-01-15,2023-05-30
518,C22203906,Dự án học phần KHVL,2,2,2022-2023,KHVL04,T7(6-7)-P.cs2:B206,GV0602,ThS. Võ Thanh Giang,KHVL,2022-01-15,2023-05-30
519,C22204001,Cơ sở ngành chuyên sâu KHVL,4,2,2022-2023,KHVL05,T2(6-9)-P.cs2:B201,GV0701,TS. Võ Anh Long,KHVL,2022-01-15,2023-05-30
520,C22204002,Phương pháp nghiên cứu chuyên ngành KHVL,3,2,2022-2023,KHVL05,T3(6-8)-P.cs2:B202,GV0702,ThS. Đặng Phương Hương,KHVL,2022-01-15,2023-05-30
521,C22204003,Thực hành cơ sở chuyên ngành KHVL,3,2,2022-2023,KHVL05,T4(6-8)-P.cs2:B203,GV0801,TS. Đặng Hữu Quân,KHVL,2022-01-15,2023-05-30
522,C22204004,Ứng dụng chuyên ngành KHVL,3,2,2022-2023,KHVL05,T5(6-8)-P.cs2:B204,GV0802,ThS. Bùi Bảo Mai,KHVL,2022-01-15,2023-05-30
523,C22204005,Seminar học thuật KHVL,2,2,2022-2023,KHVL05,T6(6-7)-P.cs2:B205,GV0901,TS. Bùi Tuấn Việt,KHVL,2022-01-15,2023-05-30
524,C22204101,Cơ sở ngành chuyên sâu SH,4,2,2022-2023,SH01,T2(6-9)-P.cs2:B201,GV0902,ThS. Đỗ Mỹ Thảo,SH,2022-01-15,2023-05-30
525,C22204102,Phương pháp nghiên cứu chuyên ngành SH,3,2,2022-2023,SH01,T3(6-8)-P.cs2:B202,GV1001,TS. Đỗ Bảo Đạt,SH,2022-01-15,2023-05-30
526,C22204103,Thực hành cơ sở chuyên ngành SH,3,2,2022-2023,SH01,T4(6-8)-P.cs2:B203,GV1002,ThS. Hồ Khánh Anh,SH,2022-01-15,2023-05-30
527,C22204104,Ứng dụng chuyên ngành SH,3,2,2022-2023,SH01,T5(6-8)-P.cs2:B204,GV1101,TS. Hồ Nhật Cường,SH,2022-01-15,2023-05-30
528,C22204105,Seminar học thuật SH,2,2,2022-2023,SH01,T6(6-7)-P.cs2:B205,GV1102,ThS. Ngô Thị Dung,SH,2022-01-15,2023-05-30
529,C22204106,Dự án học phần SH,2,2,2022-2023,SH01,T7(6-7)-P.cs2:B206,GV0101,TS. Lê Anh Hải,SH,2022-01-15,2023-05-30
530,C22204201,Cơ sở ngành chuyên sâu SH,4,2,2022-2023,SH02,T2(6-9)-P.cs2:B201,GV0102,ThS. Phạm Phương Hà,SH,2022-01-15,2023-05-30
531,C22204202,Phương pháp nghiên cứu chuyên ngành SH,3,2,2022-2023,SH02,T3(6-8)-P.cs2:B202,GV0201,TS. Phạm Hữu Nam,SH,2022-01-15,2023-05-30
532,C22204203,Thực hành cơ sở chuyên ngành SH,3,2,2022-2023,SH02,T4(6-8)-P.cs2:B203,GV0202,ThS. Hoàng Bảo Lan,SH,2022-01-15,2023-05-30
533,C22204204,Ứng dụng chuyên ngành SH,3,2,2022-2023,SH02,T5(6-8)-P.cs2:B204,GV0301,TS. Hoàng Tuấn Sơn,SH,2022-01-15,2023-05-30
534,C22204205,Seminar học thuật SH,2,2,2022-2023,SH02,T6(6-7)-P.cs2:B205,GV0302,ThS. Huỳnh Mỹ My,SH,2022-01-15,2023-05-30
